question,answer
Why do you want to work at our company?,"This question is your opportunity to hit the ball out of the park, thanks to the in-depth research you should do before any interview. Best sources for researching your target company: annual reports, the corporate newsletter, contacts you know at the company or its suppliers, advertisements, articles about the company in the trade press."
What are your career options right now?,"Prepare for this question by thinking of how you can position yourself as a desired commodity. If you are still working, describe the possibilities at your present firm and why, though youre greatly appreciated there, youre looking for something more (challenge, money, responsibility, etc.). Also mention that youre seriously exploring opportunities with one or two other firms. If youre not working, you can talk about other employment possibilities youre actually exploring. But do this with a light touch, speaking only in general terms. You dont want to seem manipulative or coy."
Why have you been out of work so long?,"You want to emphasize factors which have prolonged your job search by your own choice. Example: After my job was terminated, I made a conscious decision not to jump on the first opportunities to come along. In my life, Ive found out that you can always turn a negative into a positive IF you try hard enough. This is what I determined to do. I decided to take whatever time I needed to think through what I do best, what I most want to do, where Id like to do it...and then identify those companies that could offer such an opportunity. Also, in all honesty, you have to factor in the recession (consolidation, stabilization, etc.) in the (banking, financial services, manufacturing, advertising, etc.) industry. So between my being selective and the companies in our industry downsizing, the process has taken time. But in the end, Im convinced that when I do find the right match, all that careful evaluation from both sides of the desk will have been well worthwhile for both the company that hires me and myself."
"Tell me honestly about the strong points and weak points of your boss (company, management team, etc.)...","Remember the rule: Never be negative. Stress only the good points, no matter how charmingly youre invited to be critical. Your interviewer doesnt care a whit about your previous boss. He wants to find out how loyal and positive you are, and whether youll criticize him behind his back if pressed to do so by someone in this own company. This question is your opportunity to demonstrate your loyalty to those you work with."
What good books have you read lately?,"Unless youre up for a position in academia or as book critic for The New York Times, youre not expected to be a literary lion. But it wouldnt hurt to have read a handful of the most recent and influential books in your profession and on management. Consider it part of the work of your job search to read up on a few of these leading books. But make sure they are quality books that reflect favorably upon you, nothing that could even remotely be considered superficial. Finally, add a recently published bestselling work of fiction by a world-class author and youll pass this question with flying colors."
Tell me about a situation when your work was criticized.,"BEST ANSWERS: Begin by emphasizing the extremely positive feedback youve gotten throughout your career and (if its true) that your performance reviews have been uniformly excellent. Of course, no one is perfect and you always welcome suggestions on how to improve your performance. Then, give an example of a not-too-damaging learning experience from early in your career and relate the ways this lesson has since helped you. This demonstrates that you learned from the experience and the lesson is now one of the strongest breastplates in your suit of armor. If you are pressed for a criticism from a recent position, choose something fairly trivial that in no way is essential to your successful performance. Add that youve learned from this, too, and over the past several years/months, its no longer an area of concern because you now make it a regular practice to...etc. Another way to answer this question would be to describe your intention to broaden your master of an area of growing importance in your field. For example, this might be a computer program youve been meaning to sit down and learn... a new management technique youve read about...or perhaps attending a seminar on some cutting-edge branch of your profession. Again, the key is to focus on something not essential to your brilliant performance but which adds yet another dimension to your already impressive knowledge base."
What are your outside interests?,"BEST ANSWERS: Try to gauge how this companys culture would look upon your favorite outside activities and be guided accordingly. You can also use this question to shatter any stereotypes that could limit your chances. If youre over 50, for example, describe your activities that demonstrate physical stamina. If youre young, mention an activity that connotes wisdom and institutional trust, such as serving on the board of a popular charity. But above all, remember that your employer is hiring your for what you can do for him, not your family, yourself or outside organizations, no matter how admirable those activities may be."
The Fatal Flaw question,"BEST ANSWERS: As every master salesperson knows, you will encounter objections (whether stated or merely thought) in every sale. Theyre part and parcel of the buyers anxiety. The key is not to exacerbate the buyers anxiety but diminish it. Heres how... Whenever you come up against a fatal flaw question: 1. Be completely honest, open and straightforward about admitting the shortcoming. (Showing you have nothing to hide diminishes the buyers anxiety.) 2. Do not apologize or try to explain it away. You know that this supposed flaw is nothing to be concerned about, and this is the attitude you want your interviewer to adopt as well. 3. Add that as desirable as such a qualification might be, its lack has made you work all the harder throughout your career and has not prevented you from compiling an outstanding tack record of achievements. You might even give examples of how, through a relentless commitment to excellence, you have consistently outperformed those who do have this qualification. Of course, the ultimate way to handle fatal flaw questions is to prevent them from arising in the first place. You will do that by following the master strategy described in Question 1, i.e., uncovering the employers needs and them matching your qualifications to those needs. Once youve gotten the employer to start talking about his most urgently-felt wants and goals for the position, and then help him see in step-by-step fashion how perfectly your background and achievements match up with those needs, youre going to have one very enthusiastic interviewer on your hands, one who is no longer looking for fatal flaws."
"How do you feel about reporting to a younger person (minority, woman, etc)?","You greatly admire a company that hires and promotes on merit alone and you couldnt agree more with that philosophy. The age (gender, race, etc.) of the person you report to would certainly make no difference to you. Whoever has that position has obviously earned it and knows their job well. Both the person and the position are fully deserving of respect. You believe that all people in a company, from the receptionist to the Chairman, work best when their abilities, efforts and feelings are respected and rewarded fairly, and that includes you. Thats the best type of work environment you can hope to find."
On confidential matters...,"Your interviewer may press you for this information for two reasons. First, many companies use interviews to research the competition. Its a perfect set-up. Here in their own lair, is an insider from the enemy camp who can reveal prized information on the competitions plans, research, financial condition, etc. Second, the company may be testing your integrity to see if you can be cajoled or bullied into revealing confidential data. What to do? The answer here is easy. Never reveal anything truly confidential about a present or former employer. By all means, explain your reticence diplomatically. For example, I certainly want to be as open as I can about that. But I also wish to respect the rights of those who have trusted me with their most sensitive information, just as you would hope to be able to trust any of your key people when talking with a competitor... And certainly you can allude to your finest achievements in specific ways that dont reveal the combination to the company safe. But be guided by the golden rule. If you were the owner of your present company, would you feel it ethically wrong for the information to be given to your competitors? If so, steadfastly refuse to reveal it. Remember that this question pits your desire to be cooperative against your integrity. Faced with any such choice, always choose integrity. It is a far more valuable commodity than whatever information the company may pry from you. Moreover, once you surrender the information, your stock goes down. They will surely lose respect for you. One President we know always presses candidates unmercifully for confidential information. If he doesnt get it, he grows visibly annoyed, relentlessly inquisitive, Its all an act. He couldnt care less about the information. This is his way of testing the candidates moral fiber. Only those who hold fast are hired."
Would you lie for the company?,"Try to avoid choosing between two values, giving a positive statement which covers all bases instead. Example: I would never do anything to hurt the company.. If aggressively pressed to choose between two competing values, always choose personal integrity. It is the most prized of all values."
"Looking back, what would you do differently in your life?","Indicate that you are a happy, fulfilled, optimistic person and that, in general, you wouldnt change a thing. Example: Its been a good life, rich in learning and experience, and the best it yet to come. Every experience in life is a lesson it its own way. I wouldnt change a thing."
Could you have done better in your last job?,"Again never be negative. Example: I suppose with the benefit of hindsight you can always find things to do better, of course, but off the top of my head, I cant think of anything of major consequence. (If more explanation seems necessary) Describer a situation that didnt suffer because of you but from external conditions beyond your control. For example, describe the disappointment you felt with a test campaign, new product launch, merger, etc., which looked promising at first, but led to underwhelming results. I wish we could have known at the start what we later found out (about the economy turning, the marketplace changing, etc.), but since we couldnt, we just had to go for it. And we did learn from it..."
Can you work under pressure?,Absolutely...(then prove it with a vivid example or two of a goal or project accomplished under severe pressure.)
What makes you angry?,"Give an answer thats suited to both your personality and the management style of the firm. Here, the homework youve done about the company and its style can help in your choice of words. Examples: If you are a reserved person and/or the corporate culture is coolly professional: Im an even-tempered and positive person by nature, and I believe this helps me a great deal in keeping my department running smoothly, harmoniously and with a genuine esprit de corps. I believe in communicating clearly whats expected, getting peoples commitment to those goals, and then following up continuously to check progress. If anyone or anything is going off track, I want to know about it early. If, after that kind of open communication and follow up, someone isnt getting the job done, Ill want to know why. If theres no good reason, then Ill get impatient and angry...and take appropriate steps from there. But if you hire good people, motivate them to strive for excellence and then follow up constantly, it almost never gets to that state. If you are feisty by nature and/or the position calls for a tough straw boss. You know what makes me angry? People who (the fill in the blanks with the most objectionable traits for this type of position)...people who dont pull their own weight, who are negative, people who lie...etc."
Why arent you earning more money at this stage of your career?,"You like to make money, but other factors are even more important. Example: Making money is very important to me, and one reason Im here is because Im looking to make more. Throughout my career, whats been even more important to me is doing work I really like to do at the kind of company I like and respect. (Then be prepared to be specific about what your ideal position and company would be like, matching them as closely as possible to the opportunity at hand."
Who has inspired you in your life and why?,"Have a few heroes in mind, from your mental Board of Directors Leaders in your industry, from history or anyone else who has been your mentor. Be prepared to give examples of how their words, actions or teachings have helped inspire your achievements. As always, prepare an answer which highlights qualities that would be highly valuable in the position you are seeking."
What was the toughest decision you ever had to make?,"Be prepared with a good example, explaining why the decision was difficult...the process you followed in reaching it...the courageous or effective way you carried it out...and the beneficial results."
Tell me about the most boring job youve ever had.,"You have never allowed yourself to grow bored with a job and you cant understand it when others let themselves fall into that rut. Example: Perhaps Ive been fortunate, but that Ive never found myself bored with any job I have ever held. Ive always enjoyed hard work. As with actors who feel there are no small parts, I also believe that in every company or department there are exciting challenges and intriguing problems crying out for energetic and enthusiastic solutions. If youre bored, its probably because youre not challenging yourself to tackle those problems right under your nose."
Have you been absent from work more than a few days in any previous position?,"If you have had no problem, emphasize your excellent and consistent attendance record throughout your career. Also describe how important you believe such consistent attendance is for a key executive...why its up to you to set an example of dedication...and why theres just no substitute for being there with your people to keep the operation running smoothly, answer questions and handle problems and crises as they arise. If you do have a past attendance problem, you want to minimize it, making it clear that it was an exceptional circumstance and that its cause has been corrected. To do this, give the same answer as above but preface it with something like, Other that being out last year (or whenever) because of (your reason, which is now in the past), I have never had a problem and have enjoyed an excellent attendance record throughout my career. Furthermore, I believe, consistent attendance is important because... (Pick up the rest of the answer as outlined above.)."
What changes would you make if you came on board?,"You, of course, will want to take a good hard look at everything the company is doing before making any recommendations. Example: Well, I wouldnt be a very good doctor if I gave my diagnosis before the examination. Should you hire me, as I hope you will, Id want to take a good hard look at everything youre doing and understand why its being done that way. Id like to have in-depth meetings with you and the other key people to get a deeper grasp of what you feel youre doing right and what could be improved. From what youve told me so far, the areas of greatest concern to you are... (name them. Then do two things. First, ask if these are in fact his major concerns. If so then reaffirm how your experience in meeting similar needs elsewhere might prove very helpful)."
Im concerned that you dont have as much experience as wed like in...,"This question is related to The Fatal Flaw (Question 18), but here the concern is not that you are totally missing some qualifications, such as CPA certification, but rather that your experience is light in one area. Before going into any interview, try to identify the weakest aspects of your candidacy from this companys point of view. Then prepare the best answer you possible can to shore up your defenses. To get past this question with flying colors, you are going to rely on your master strategy of uncovering the employers greatest wants and needs and then matching them with your strengths. Since you already know how to do this from Question 1, you are in a much stronger position. More specifically, when the interviewer poses as objection like this, you should... 1. Agree on the importance of this qualification. 2. Explain that your strength may be indeed be greater than your resume indicates because... 3. When this strength is added to your other strengths, its really your combination of qualifications thats most important. Then review the areas of your greatest strengths that match up most favorably with the companys most urgently-felt wants and needs. This is powerful way to handle this question for two reasons. First, youre giving your interviewer more ammunition in the area of his concern. But more importantly, youre shifting his focus away from this one, isolated area and putting it on the unique combination of strengths you offer, strengths which tie in perfectly with his greatest wants."
How do you feel about working nights and weekends?,"First, if youre a confirmed workaholic, this question is a softball lob. Whack it out of the park on the first swing by saying this kind of schedule is just your style. Add that your family understands it. Indeed, theyre happy for you, as they know you get your greatest satisfaction from your work. If however, you prefer a more balanced lifestyle, answer this question with another: Whats the norm for your best people here? If the hours still sound unrealistic for you, ask, Do you have any top people who perform exceptionally for you, but who also have families and like to get home in time to see them at night? Chances are this company does, and this associates you with this other top-performers-who-leave-not-later-than-six group. Depending on the answer, be honest about how you would fit into the picture. If all those extra hours make you uncomfortable, say so, but phrase your response positively. Example: I love my work and do it exceptionally well. I think the results speak for themselves, especially in ...(mention your two or three qualifications of greater interest to the employer. Remember, this is what he wants most, not a workaholic with weak credentials). Not only would I bring these qualities, but Ive built my whole career on working not just hard, but smart. I think youll find me one of the most productive people here. I do have a family who likes to see me after work and on weekends. They add balance and richness to my life, which in turn helps me be happy and productive at work. If I could handle some of the extra work at home in the evenings or on weekends, that would be ideal. Youd be getting a person of exceptional productivity who meets your needs with strong credentials. And Id be able to handle some of the heavy workload at home where I can be under the same roof as my family. Everybody would win."
Are you willing to relocate or travel?,"First find out where you may have to relocate and how much travel may be involved. Then respond to the question. If theres no problem, say so enthusiastically. If you do have a reservation, there are two schools of thought on how to handle it. One advises you to keep your options open and your reservations to yourself in the early going, by saying, no problem. You strategy here is to get the best offer you can, then make a judgment whether its worth it to you to relocate or travel. Also, by the time the offer comes through, you may have other offers and can make a more informed decision. Why kill of this opportunity before it has chance to blossom into something really special? And if youre a little more desperate three months from now, you might wish you hadnt slammed the door on relocating or traveling. The second way to handle this question is to voice a reservation, but assert that youd be open to relocating (or traveling) for the right opportunity. The answering strategy you choose depends on how eager you are for the job. If you want to take no chances, choose the first approach. If you want to play a little harder-to-get in hopes of generating a more enticing offer, choose the second."
Do you have the stomach to fire people? Have you had experience firing many people?,"Describe the rational and sensible management process you follow in both hiring and firing. Example: My whole management approach is to hire the best people I can find, train them thoroughly and well, get them excited and proud to be part of our team, and then work with them to achieve our goals together. If you do all of that right, especially hiring the right people, Ive found you dont have to fire very often. So with me, firing is a last resort. But when its got to be done, its got to be done, and the faster and cleaner, the better. A poor employee can wreak terrible damage in undermining the morale of an entire team of good people. When theres no other way, Ive found its better for all concerned to act decisively in getting rid of offenders who wont change their ways."
Why have you had so many jobs?,"First, before you even get to the interview stage, you should try to minimize your image as job hopper. If there are several entries on your resume of less than one year, consider eliminating the less important ones. Perhaps you can specify the time you spent at previous positions in rounded years not in months and years. Example: Instead of showing three positions this way: 6/1982 3/1983, Position A; 4/1983 12/1983, Position B; 1/1984 8/1987, Position C; ...it would be better to show simply: 1982 1983, Position A; 1984 1987 Position C. In other words, you would drop Position B altogether. Notice what a difference this makes in reducing your image as a job hopper. Once in front of the interviewer and this question comes up, you must try to reassure him. Describe each position as part of an overall pattern of growth and career destination. Be careful not to blame other people for your frequent changes. But you can and should attribute certain changes to conditions beyond your control. Example: Thanks to an upcoming merger, you wanted to avoid an ensuing bloodbath, so you made a good, upward career move before your department came under the axe of the new owners. If possible, also show that your job changes were more frequent in your younger days, while you were establishing yourself, rounding out your skills and looking for the right career path. At this stage in your career, youre certainly much more interested in the best long-term opportunity. You might also cite the job(s) where you stayed the longest and describe that this type of situation is what youre looking for now."
What do you see as the proper role/mission of...,"Think of the most essential ingredients of success for each category above your job title, your role as manager, your firms role, etc. Identify at least three but no more than six qualities you feel are most important to success in each role. Then commit your response to memory. Here, again, the more information youve already drawn out about the greatest wants and needs of the interviewer, and the more homework youve done to identify the culture of the firm, the more on-target your answer will be."
"What would you say to your boss if hes crazy about an idea, but you think it stinks?","Remember the rule stated earlier: In any conflict between values, always choose integrity. Example: I believe that when evaluating anything, its important to emphasize the positive. What do I like about this idea? Then, if you have reservations, I certainly want to point them out, as specifically, objectively and factually as I can. After all, the most important thing I owe my boss is honesty. If he cant count on me for that, then everything else I may do or say could be questionable in his eyes. But I also want to express my thoughts in a constructive way. So my goal in this case would be to see if my boss and I could make his idea even stronger and more appealing, so that it effectively overcomes any initial reservation I or others may have about it. Of course, if he overrules me and says, no, lets do it my way, then I owe him my full and enthusiastic support to make it work as best it can."
How could you have improved your career progress?,"Youre generally quite happy with your career progress. Maybe, if you had known something earlier in life (impossible to know at the time, such as the booming growth in a branch in your industry...or the corporate downsizing that would phase out your last job), you might have moved in a certain direction sooner. But all things considered, you take responsibility for where you are, how youve gotten there, where you are going...and you harbor no regrets."
What would you do if a fellow executive on your own corporate level wasnt pulling his/her weight...and this was hurting your department?,"Try to gauge the political style of the firm and be guided accordingly. In general, fall back on universal principles of effective human relations which in the end, embody the way you would like to be treated in a similar circumstance. Example: Good human relations would call for me to go directly to the person and explain the situation, to try to enlist his help in a constructive, positive solution. If I sensed resistance, I would be as persuasive as I know how to explain the benefits we can all gain from working together, and the problems we, the company and our customers will experience if we dont. POSSIBLE FOLLOW-UP QUESTION: And what would you do if he still did not change his ways? ANSWER: One thing I wouldnt do is let the problem slide, because it would only get worse and overlooking it would set a bad precedent. I would try again and again and again, in whatever way I could, to solve the problem, involving wider and wider circles of people, both above and below the offending executive and including my own boss if necessary, so that everyone involved can see the rewards for teamwork and the drawbacks of non-cooperation. I might add that Ive never yet come across a situation that couldnt be resolved by harnessing others in a determined, constructive effort."
Youve been with your firm a long time. Wont it be hard switching to a new company?,"To overcome this objection, you must point to the many ways you have grown and adapted to changing conditions at your present firm. It has not been a static situation. Highlight the different responsibilities youve held, the wide array of new situations youve faced and conquered. As a result, youve learned to adapt quickly to whatever is thrown at you, and you thrive on the stimulation of new challenges. To further assure the interviewer, describe the similarities between the new position and your prior one. Explain that you should be quite comfortable working there, since their needs and your skills make a perfect match."
May I contact your present employer for a reference?,"Express your concern that youd like to keep your job search private, but that in time, it will be perfectly okay. Example: My present employer is not aware of my job search and, for obvious reasons; Id prefer to keep it that way. Id be most appreciative if we kept our discussion confidential right now. Of course, when we both agree the time is right, then by all means you should contact them. Im very proud of my record there."
"Give me an example of your creativity (analytical skill...managing ability, etc.)","Remember from Question 2 that you should commit to memory a list of your greatest and most recent achievements, ever ready on the tip of your tongue. If you have such a list, its easy to present any of your achievements in light of the quality the interviewer is asking about. For example, the smashing success you orchestrated at last years trade show could be used as an example of creativity, or analytical ability, or your ability to manage."
Where could you use some improvement?,"Keep this answer, like all your answers, positive. A good way to answer this question is to identify a cutting-edge branch of your profession (one thats not essential to your employers needs) as an area youre very excited about and want to explore more fully over the next six months."
What do you worry about?,"Redefine the word worry so that it does not reflect negatively on you. Example: I wouldnt call it worry, but I am a strongly goal-oriented person. So I keep turning over in my mind anything that seems to be keeping me from achieving those goals, until I find a solution. Thats part of my tenacity, I suppose."
How many hours a week do you normally work?,"If you are in fact a workaholic and you sense this company would like that: Say you are a confirmed workaholic, that you often work nights and weekends. Your family accepts this because it makes you fulfilled. If you are not a workaholic: Say you have always worked hard and put in long hours. It goes with the territory. It one sense, its hard to keep track of the hours because your work is a labor of love, you enjoy nothing more than solving problems. So youre almost always thinking about your work, including times when youre home, while shaving in the morning, while commuting, etc."
Whats the most difficult part of being a (job title)?,"First, redefine difficult to be challenging which is more positive. Then, identify an area everyone in your profession considers challenging and in which you excel. Describe the process you follow that enables you to get splendid results...and be specific about those results. Example: I think every sales manager finds it challenging to motivate the troops in a recession. But thats probably the strongest test of a top sales manager. I feel this is one area where I excel. When I see the first sign that sales may slip or that sales force motivation is flagging because of a downturn in the economy, heres the plan I put into action immediately... (followed by a description of each step in the process...and most importantly, the exceptional results youve achieved.)."
The Hypothetical Problem,"Instead, describe the rational, methodical process you would follow in analyzing this problem, who you would consult with, generating possible solutions, choosing the best course of action, and monitoring the results. Remember, in all such, What would you do? questions, always describe your process or working methods, and youll never go wrong."
What was the toughest challenge youve ever faced?,"This is an easy question if youre prepared. Have a recent example ready that demonstrates either: 1. A quality most important to the job at hand; or 2. A quality that is always in demand, such as leadership, initiative, managerial skill, persuasiveness, courage, persistence, intelligence, etc."
